myid = 5	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-15_ecc3E-2_nofrag_acc/rand06/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-15_ecc3E-2_nofrag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	3.0
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
inner = 848,	center = 1047,	outer = 1103,	total = 3000
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
3.100000e+07	  3	  3000	   553	1.396874485512860e-03	1.333521432163323e+01	3.034842732367030e+00
3.200000e+07	  3	  3000	  2256	1.447570366614397e-03	1.333521432163323e+01	3.563503588675121e+00
3.300000e+07	  3	  3000	    36	1.473506930385238e-03	1.333521432163323e+01	4.091503686979442e+00
3.400000e+07	  3	  3000	  1015	1.430149869839244e-03	1.778279410038921e+01	1.720015815940344e-01
3.500000e+07	  3	  3000	  2565	1.807610995043870e-03	1.778279410038921e+01	7.006388142499134e-01
3.600000e+07	  3	  3000	  1882	1.391012567635393e-03	1.778279410038921e+01	1.229710677633308e+00
3.700000e+07	  3	  3000	   108	1.343975334206843e-03	1.778279410038921e+01	1.757726656004337e+00
3.800000e+07	  3	  3000	   860	1.790464192285408e-03	1.778279410038921e+01	2.286766205541133e+00
3.900000e+07	  3	  3000	  1198	1.491610955658834e-03	1.778279410038921e+01	2.814517422408015e+00
4.000000e+07	  3	  3000	  2272	1.231122095677131e-03	1.778279410038921e+01	3.341406227759272e+00
4.100000e+07	  3	  3000	  1008	1.438040528000434e-03	1.778279410038921e+01	3.870183038308219e+00
4.200000e+07	  3	  3000	  2964	1.521276516896248e-03	1.778279410038921e+01	4.398336510427419e+00
4.300000e+07	  3	  3000	  1844	2.395821094217812e-03	1.778279410038921e+01	4.924004680914757e+00
4.400000e+07	  3	  3000	  1982	2.129785063879683e-03	1.778279410038921e+01	5.449733232593478e+00
4.500000e+07	  3	  3000	   129	1.776445037165267e-03	2.371373705661653e+01	4.694970581186769e-02
4.600000e+07	  3	  3000	  2084	1.515426714931973e-03	2.371373705661653e+01	5.746304351476298e-01
4.700000e+07	  3	  3000	   390	2.145268730456083e-03	2.371373705661653e+01	1.104288392696802e+00
4.800000e+07	  3	  3000	  2727	1.563924505374713e-03	2.371373705661653e+01	1.633777179430035e+00
4.900000e+07	  3	  3000	  1468	1.480934847271691e-03	2.371373705661653e+01	2.162100794367106e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  3000	  2398	2.136482703019352e-03	2.371373705661653e+01	2.691259198959879e+00
5.100000e+07	  3	  3000	   664	1.838562976843507e-03	2.371373705661653e+01	3.220312638662781e+00
5.200000e+07	  3	  3000	  2281	1.458054610853533e-03	2.371373705661653e+01	3.749117446189518e+00
5.300000e+07	  3	  3000	  2755	1.522657167955376e-03	2.371373705661653e+01	4.277174224161429e+00
5.400000e+07	  3	  3000	  2466	2.350427426404334e-03	2.371373705661653e+01	4.805357049763388e+00
collision No.1	2.895729e+01[yr]	i=2, j=58	r_ij=6.326609009283505e-05	radius[2]+radius[58]=6.338481524341289e-05
dE_heat=-1.422469e-09	dE_grav=1.422563e-09	dE_c=9.456093e-17	v_imp=3.094827e-01
5.500000e+07	  3	  2999	  2057	1.704735330396230e-03	2.371373705661653e+01	5.332876011326164e+00
5.600000e+07	  3	  2999	  2817	1.610881461847422e-03	2.371373705661653e+01	5.862112854070991e+00
5.700000e+07	  3	  2999	   734	2.087014034665527e-03	2.371373705661653e+01	6.386482447432045e+00
5.800000e+07	  3	  2999	   449	1.235467565004412e-03	2.371373705661653e+01	6.915939056168878e+00
5.900000e+07	  3	  2999	  2573	1.254375160177016e-03	2.371373705661653e+01	7.445053616462546e+00
6.000000e+07	  3	  2999	   912	1.175771518259007e-03	3.162277660168376e+01	6.347207002519253e-02
6.100000e+07	  3	  2999	   127	1.484584581261380e-03	3.162277660168376e+01	5.928458196310668e-01
6.200000e+07	  3	  2999	  1550	2.354376758203656e-03	3.162277660168376e+01	1.121764087167264e+00
6.300000e+07	  3	  2999	  1609	1.559165726509413e-03	3.162277660168376e+01	1.650212314179587e+00
6.400000e+07	  3	  2999	  1014	1.292928270777938e-03	3.162277660168376e+01	2.176239140735448e+00
6.500000e+07	  3	  2999	  1066	1.502036398568360e-03	3.162277660168376e+01	2.705370708175995e+00
6.600000e+07	  3	  2999	   473	1.452954395919655e-03	3.162277660168376e+01	3.233396689258811e+00
6.700000e+07	  3	  2999	  1230	1.523639992776892e-03	3.162277660168376e+01	3.761952047077996e+00
6.800000e+07	  3	  2999	  2283	1.711230192318434e-03	3.162277660168376e+01	4.289125314665792e+00
6.900000e+07	  3	  2999	   277	1.492198876658718e-03	3.162277660168376e+01	4.818568542346990e+00
7.000000e+07	  3	  2999	  2123	1.821310312478815e-03	3.162277660168376e+01	5.344998205057451e+00
7.100000e+07	  3	  2999	  2502	1.365367214685155e-03	3.162277660168376e+01	5.874399414269157e+00
7.200000e+07	  3	  2999	  2039	1.050658582316788e-03	3.162277660168376e+01	6.404021536655904e+00
7.300000e+07	  3	  2999	  1695	1.859188766495315e-03	3.162277660168376e+01	6.932175343421194e+00
7.400000e+07	  3	  2999	  1399	2.050075434919859e-03	3.162277660168376e+01	7.460881636497366e+00
7.500000e+07	  3	  2999	  1185	2.063426559429159e-03	3.162277660168376e+01	7.988883334408396e+00
7.600000e+07	  3	  2999	  2795	1.627124327507517e-03	3.162277660168376e+01	8.517113011639367e+00
7.700000e+07	  3	  2999	  2991	1.710319665979131e-03	3.162277660168376e+01	9.046127119708117e+00
7.800000e+07	  3	  2999	   107	1.758561891457821e-03	3.162277660168376e+01	9.575106959616440e+00
7.900000e+07	  3	  2999	  1294	1.470590010412995e-03	3.162277660168376e+01	1.010472684498073e+01
8.000000e+07	  3	  2999	  1114	1.900690963169842e-03	4.216965034285818e+01	8.218779978496277e-02
8.100000e+07	  3	  2999	   162	1.716747271107039e-03	4.216965034285818e+01	6.095215019514086e-01
8.200000e+07	  3	  2999	  1000	1.398495327460750e-03	4.216965034285818e+01	1.132933130173279e+00
8.300000e+07	  3	  2999	  2477	1.385500970537876e-03	4.216965034285818e+01	1.662069936816158e+00
8.400000e+07	  3	  2999	  2805	1.386229230992959e-03	4.216965034285818e+01	2.190921812911554e+00
8.500000e+07	  3	  2999	  1016	1.810924914316566e-03	4.216965034285818e+01	2.719977173825169e+00
8.600000e+07	  3	  2999	  2295	1.956705962319060e-03	4.216965034285818e+01	3.248369770669568e+00
8.700000e+07	  3	  2999	   941	1.682218509653765e-03	4.216965034285818e+01	3.776353750631261e+00
8.800000e+07	  3	  2999	  2845	1.862108991987465e-03	4.216965034285818e+01	4.306051484570796e+00
8.900000e+07	  3	  2999	  2747	1.255475507254794e-03	4.216965034285818e+01	4.833345419262811e+00
9.000000e+07	  3	  2999	   486	1.224567359526324e-03	4.216965034285818e+01	5.362135252354872e+00
9.100000e+07	  3	  2999	  2085	1.778108428334084e-03	4.216965034285818e+01	5.890335503784098e+00
9.200000e+07	  3	  2999	  1880	1.389991667763222e-03	4.216965034285818e+01	6.420475356027458e+00
9.300000e+07	  3	  2999	   762	2.124909056211799e-03	4.216965034285818e+01	6.948761818562311e+00
9.400000e+07	  3	  2999	  1475	1.326258440810649e-03	4.216965034285818e+01	7.478453870236637e+00
9.500000e+07	  3	  2999	   551	1.730869355140945e-03	4.216965034285818e+01	8.004208539286662e+00
9.600000e+07	  3	  2999	  1218	1.579341946670384e-03	4.216965034285818e+01	8.533597404896085e+00
9.700000e+07	  3	  2999	  2155	1.252232408281825e-03	4.216965034285818e+01	9.062095284215271e+00
9.800000e+07	  3	  2999	  2446	1.831535252852696e-03	4.216965034285818e+01	9.589759298910437e+00
9.900000e+07	  3	  2999	  1535	1.006454690242453e-03	4.216965034285818e+01	1.011717593371567e+01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.000000e+08	  3	  2999	   431	1.905448113750512e-03	4.216965034285818e+01	1.064642282727196e+01
1.010000e+08	  3	  2999	  1039	1.835704633151461e-03	4.216965034285818e+01	1.117420816344602e+01
1.020000e+08	  3	  2999	   594	2.382652582354042e-03	4.216965034285818e+01	1.170127371073774e+01
1.030000e+08	  3	  2999	   889	1.273777656953129e-03	4.216965034285818e+01	1.222832755143833e+01
1.040000e+08	  3	  2999	  1837	1.549356381322622e-03	4.216965034285818e+01	1.275726139472563e+01
1.050000e+08	  3	  2999	  2797	1.761406871736677e-03	4.216965034285818e+01	1.328378115898450e+01
1.060000e+08	  3	  2999	    64	1.907620165582403e-03	4.216965034285818e+01	1.381366724932498e+01
1.070000e+08	  3	  2999	  2043	1.214925747353338e-03	5.623413251903484e+01	2.737247635526665e-01
1.080000e+08	  3	  2999	  1109	1.349305853317487e-03	5.623413251903484e+01	8.025724251345360e-01
1.090000e+08	  3	  2999	    45	2.074652051375455e-03	5.623413251903484e+01	1.329907436162325e+00
1.100000e+08	  3	  2999	  1374	2.059626293866240e-03	5.623413251903484e+01	1.858536727872974e+00
1.110000e+08	  3	  2999	  1532	1.261919003159435e-03	5.623413251903484e+01	2.386970345357730e+00
collision No.2	5.903596e+01[yr]	i=1, j=38	r_ij=6.324046972334584e-05	radius[1]+radius[38]=6.338481524341289e-05
dE_heat=-1.417825e-09	dE_grav=1.423139e-09	dE_c=2.637944e-17	v_imp=3.089771e-01
1.120000e+08	  3	  2998	  1038	1.675157880703378e-03	5.623413251903484e+01	2.916710491033711e+00
1.130000e+08	  3	  2998	  1385	1.853069875693044e-03	5.623413251903484e+01	3.445076430992702e+00
1.140000e+08	  3	  2998	  1490	1.353962555077640e-03	5.623413251903484e+01	3.975416591730159e+00
1.150000e+08	  3	  2998	   721	1.291797076518467e-03	5.623413251903484e+01	4.503724272052900e+00
1.160000e+08	  3	  2998	  1819	1.633931544059633e-03	5.623413251903484e+01	5.032903758984501e+00
1.170000e+08	  3	  2998	  2884	1.459885024038777e-03	5.623413251903484e+01	5.561288610973034e+00
1.180000e+08	  3	  2998	  1579	1.601946552569779e-03	5.623413251903484e+01	6.089933604655511e+00
1.190000e+08	  3	  2998	  2916	1.447152838021122e-03	5.623413251903484e+01	6.617955884927128e+00
collision No.3	6.294158e+01[yr]	i=3, j=2076	r_ij=6.322896630528355e-05	radius[3]+radius[2076]=6.338481524341289e-05
dE_heat=-1.418665e-09	dE_grav=1.423398e-09	dE_c=5.139161e-17	v_imp=3.090687e-01
1.200000e+08	  3	  2997	  1877	1.298186204482060e-03	5.623413251903484e+01	7.146545912103370e+00
1.210000e+08	  3	  2997	  1117	1.729882315450046e-03	5.623413251903484e+01	7.675965137664096e+00
1.220000e+08	  3	  2997	  1532	1.291644711018097e-03	5.623413251903484e+01	8.204820532261390e+00
1.230000e+08	  3	  2997	  2760	1.179496377603347e-03	5.623413251903484e+01	8.734003166909018e+00
1.240000e+08	  3	  2997	  2979	1.229425601869564e-03	5.623413251903484e+01	9.264356167390286e+00
1.250000e+08	  3	  2997	  2796	1.494231456487325e-03	5.623413251903484e+01	9.793026577298511e+00
1.260000e+08	  3	  2997	   683	1.453227607247277e-03	5.623413251903484e+01	1.032211680455591e+01
1.270000e+08	  3	  2997	   960	1.341862054348092e-03	5.623413251903484e+01	1.084998683054096e+01
1.280000e+08	  3	  2997	   494	1.157168451043653e-03	5.623413251903484e+01	1.137948431188391e+01
1.290000e+08	  3	  2997	   603	1.292415093417060e-03	5.623413251903484e+01	1.190727822605529e+01
1.300000e+08	  3	  2997	  2769	2.139160295167169e-03	5.623413251903484e+01	1.243688623475758e+01
1.310000e+08	  3	  2997	  2576	1.276094378457253e-03	5.623413251903484e+01	1.296590416937714e+01
1.320000e+08	  3	  2997	  1644	1.746213004544331e-03	5.623413251903484e+01	1.349311118930768e+01
1.330000e+08	  3	  2997	  2005	1.856222908936230e-03	5.623413251903484e+01	1.402206262868183e+01
1.340000e+08	  3	  2997	   178	1.480757115921243e-03	5.623413251903484e+01	1.455115452038705e+01
1.350000e+08	  3	  2997	  1973	1.656547373738066e-03	5.623413251903484e+01	1.507825893591932e+01
1.360000e+08	  3	  2997	   617	1.312533788526311e-03	5.623413251903484e+01	1.560695955233197e+01
1.370000e+08	  3	  2997	  1412	1.853767175010961e-03	5.623413251903484e+01	1.613603268802026e+01
collision No.4	7.263130e+01[yr]	i=1, j=726	r_ij=6.348387190899324e-05	radius[1]+radius[726]=6.355807079488190e-05
dE_heat=-1.423184e-09	dE_grav=1.431860e-09	dE_c=1.741045e-16	v_imp=3.095453e-01
1.380000e+08	  3	  2996	  1184	1.843233544708155e-03	5.623413251903484e+01	1.666338600593492e+01
1.390000e+08	  3	  2996	   620	1.524560099321955e-03	5.623413251903484e+01	1.718809743420570e+01
1.400000e+08	  3	  2996	  2585	9.992420941639789e-04	5.623413251903484e+01	1.771791726092072e+01
1.410000e+08	  3	  2996	   537	1.522765470939075e-03	5.623413251903484e+01	1.824397006890644e+01
1.420000e+08	  3	  2996	   423	1.585892643791398e-03	7.498942093324548e+01	1.667590472101323e-02
1.430000e+08	  3	  2996	  1188	1.870666180708277e-03	7.498942093324548e+01	5.440343271535159e-01
1.440000e+08	  3	  2996	  1318	1.799288784112092e-03	7.498942093324548e+01	1.074422888255212e+00
1.450000e+08	  3	  2996	  1419	2.058665887188606e-03	7.498942093324548e+01	1.602940964229161e+00
1.460000e+08	  3	  2996	  1321	1.963971157625916e-03	7.498942093324548e+01	2.131948647521748e+00
1.470000e+08	  3	  2996	   109	9.779930441461719e-04	7.498942093324548e+01	2.662404804905513e+00
1.480000e+08	  3	  2996	   298	1.345872217352498e-03	7.498942093324548e+01	3.190883986971547e+00
1.490000e+08	  3	  2996	  2422	1.854107398590630e-03	7.498942093324548e+01	3.720241133310375e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.500000e+08	  3	  2996	  2986	1.486725621190725e-03	7.498942093324548e+01	4.247261356834048e+00
1.510000e+08	  3	  2996	   399	1.961202954846232e-03	7.498942093324548e+01	4.776024812560990e+00
1.520000e+08	  3	  2996	  1715	1.832854683354825e-03	7.498942093324548e+01	5.302329984248081e+00
collision No.5	8.036734e+01[yr]	i=2, j=980	r_ij=6.354590244783814e-05	radius[2]+radius[980]=6.355807079488190e-05
dE_heat=-1.439315e-09	dE_grav=1.430462e-09	dE_c=8.825760e-17	v_imp=3.112946e-01
1.530000e+08	  3	  2995	  2726	1.959889371750680e-03	7.498942093324548e+01	5.831794019580890e+00
1.540000e+08	  3	  2995	   354	1.535899274769725e-03	7.498942093324548e+01	6.360788028635788e+00
1.550000e+08	  3	  2995	   575	1.378172842018121e-03	7.498942093324548e+01	6.891228385571910e+00
1.560000e+08	  3	  2995	  1111	1.297873322461003e-03	7.498942093324548e+01	7.419247500670986e+00
1.570000e+08	  3	  2995	  1610	1.937577291240078e-03	7.498942093324548e+01	7.946969404039755e+00
1.580000e+08	  3	  2995	  1133	1.386042420885735e-03	7.498942093324548e+01	8.477796051542862e+00
1.590000e+08	  3	  2995	   256	1.378963080772131e-03	7.498942093324548e+01	9.006388403154476e+00
1.600000e+08	  3	  2995	  2619	1.524057773312784e-03	7.498942093324548e+01	9.536227962059002e+00
1.610000e+08	  3	  2995	  1390	2.055251046481804e-03	7.498942093324548e+01	1.006588194412146e+01
1.620000e+08	  3	  2995	   835	1.231985449874904e-03	7.498942093324548e+01	1.059580796717488e+01
1.630000e+08	  3	  2995	  2540	1.428043411429760e-03	7.498942093324548e+01	1.112533969638389e+01
1.640000e+08	  3	  2995	  1485	1.299442732694937e-03	7.498942093324548e+01	1.165486984785337e+01
1.650000e+08	  3	  2995	   846	1.586428824152032e-03	7.498942093324548e+01	1.218192513835522e+01
1.660000e+08	  3	  2995	   878	1.485583610397024e-03	7.498942093324548e+01	1.271108043977392e+01
1.670000e+08	  3	  2995	   713	1.180626189508955e-03	7.498942093324548e+01	1.324024217565252e+01
1.680000e+08	  3	  2995	   726	1.810046744413230e-03	7.498942093324548e+01	1.377005656697419e+01
1.690000e+08	  3	  2995	   795	1.510489067728885e-03	7.498942093324548e+01	1.429857804136844e+01
1.700000e+08	  3	  2995	  1060	1.496464333109194e-03	7.498942093324548e+01	1.482733707479922e+01
1.710000e+08	  3	  2995	  2201	1.313952076013938e-03	7.498942093324548e+01	1.535684995797639e+01
1.720000e+08	  3	  2995	   553	1.341498399460706e-03	7.498942093324548e+01	1.588577621142743e+01
1.730000e+08	  3	  2995	  1676	1.579341645861469e-03	7.498942093324548e+01	1.641437147272561e+01
1.740000e+08	  3	  2995	   191	1.229676255737487e-03	7.498942093324548e+01	1.694150376542338e+01
1.750000e+08	  3	  2995	  2430	1.290437049377947e-03	7.498942093324548e+01	1.747030581646296e+01
1.760000e+08	  3	  2995	  2746	1.305967943346419e-03	7.498942093324548e+01	1.799981037942714e+01
1.770000e+08	  3	  2995	  1167	1.314375642753507e-03	7.498942093324548e+01	1.852739687149283e+01
1.780000e+08	  3	  2995	   284	1.363583999177415e-03	7.498942093324548e+01	1.905544273541350e+01
1.790000e+08	  3	  2995	  2942	1.955858725152753e-03	7.498942093324548e+01	1.958361880090671e+01
1.800000e+08	  3	  2995	  2336	1.055629395167617e-03	7.498942093324548e+01	2.011417016636049e+01
1.810000e+08	  3	  2995	  2495	2.067162693645438e-03	7.498942093324548e+01	2.064353269870804e+01
1.820000e+08	  3	  2995	  1268	1.728308042639602e-03	7.498942093324548e+01	2.117347392871044e+01
1.830000e+08	  3	  2995	     4	2.181825900264246e-03	7.498942093324548e+01	2.170251167121368e+01
1.840000e+08	  3	  2995	  2189	1.161964894937013e-03	7.498942093324548e+01	2.223276752062493e+01
1.850000e+08	  3	  2995	  2918	1.368394347469078e-03	7.498942093324548e+01	2.276123728692715e+01
1.860000e+08	  3	  2995	   581	1.329231040358219e-03	7.498942093324548e+01	2.329037226438904e+01
1.870000e+08	  3	  2995	  1549	1.242593201250568e-03	7.498942093324548e+01	2.381996813627469e+01
1.880000e+08	  3	  2995	   499	1.587431592274484e-03	7.498942093324548e+01	2.435014077992185e+01
1.890000e+08	  3	  2995	  2782	1.446272826968241e-03	7.498942093324548e+01	2.487902913540406e+01
1.900000e+08	  3	  2995	  2348	1.950428185597935e-03	9.999999999999986e+01	3.974410463670540e-01
collision No.6	1.009085e+02[yr]	i=2, j=1918	r_ij=6.372897245584762e-05	radius[2]+radius[1918]=6.373018648657143e-05
dE_heat=-1.435092e-09	dE_grav=1.440475e-09	dE_c=6.094581e-18	v_imp=3.108227e-01
1.910000e+08	  3	  2994	    29	1.351958855322736e-03	9.999999999999986e+01	9.248790876909592e-01
1.920000e+08	  3	  2994	  1459	1.500781346378301e-03	9.999999999999986e+01	1.455319546321837e+00
collision No.7	1.016368e+02[yr]	i=3, j=976	r_ij=6.349244236077680e-05	radius[3]+radius[976]=6.355807079488190e-05
dE_heat=-1.450251e-09	dE_grav=1.431666e-09	dE_c=-4.090567e-17	v_imp=3.124750e-01
1.930000e+08	  3	  2993	   185	1.783261906765171e-03	9.999999999999986e+01	1.984703393270697e+00
1.940000e+08	  3	  2993	   913	1.212986314046352e-03	9.999999999999986e+01	2.515470653401236e+00
1.950000e+08	  3	  2993	   122	1.873161661998598e-03	9.999999999999986e+01	3.043430204317351e+00
1.960000e+08	  3	  2993	  2597	1.197020187789892e-03	9.999999999999986e+01	3.568732526232117e+00
1.970000e+08	  3	  2993	   723	1.859241761481944e-03	9.999999999999986e+01	4.099724207047196e+00
1.980000e+08	  3	  2993	  2180	1.291299509769556e-03	9.999999999999986e+01	4.628578212181232e+00
1.990000e+08	  3	  2993	  2165	1.395326258949134e-03	9.999999999999986e+01	5.159472351896846e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
2.000000e+08	  3	  2993	  2993	1.594924264743602e-03	9.999999999999986e+01	5.687560942902521e+00
2.010000e+08	  3	  2993	   894	1.194063912278430e-03	9.999999999999986e+01	6.217625523447103e+00
2.020000e+08	  3	  2993	   126	1.554498026308641e-03	9.999999999999986e+01	6.746043943115194e+00
2.030000e+08	  3	  2993	  1232	1.452997715446501e-03	9.999999999999986e+01	7.276233473681696e+00
2.040000e+08	  3	  2993	   142	1.629505804076640e-03	9.999999999999986e+01	7.803708584321809e+00
2.050000e+08	  3	  2993	   177	1.258324742151121e-03	9.999999999999986e+01	8.333873438455713e+00
2.060000e+08	  3	  2993	  2066	1.636208153285263e-03	9.999999999999986e+01	8.863583901729630e+00
2.070000e+08	  3	  2993	   623	1.387935243252688e-03	9.999999999999986e+01	9.391472142289862e+00
2.080000e+08	  3	  2993	  1647	1.638052673708384e-03	9.999999999999986e+01	9.921091161819788e+00
2.090000e+08	  3	  2993	  1239	2.095426004706588e-03	9.999999999999986e+01	1.045090442994738e+01
2.100000e+08	  3	  2993	  2468	1.709629982540642e-03	9.999999999999986e+01	1.097871873234442e+01
2.110000e+08	  3	  2993	  1677	1.666430246736909e-03	9.999999999999986e+01	1.150877410515584e+01
2.120000e+08	  3	  2993	  2089	1.746045557939637e-03	9.999999999999986e+01	1.203893399386442e+01
2.130000e+08	  3	  2993	  2237	1.468977621293602e-03	9.999999999999986e+01	1.256776067603625e+01
