myid = 1	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc5E-2_frag_acc/rand02/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc5E-2_frag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	5.0
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
DT_FRAGCHECK	2.0*3.14159265358979323846*0.1
GEOMETRIC_RATIO_FRAG	pow(10.0,1.0/8.0)
DELTA_R	0.01
DELTA_THETA	0.125*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	DEPLETION_TIME_EXPLICIT
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
inner = 872,	center = 1087,	outer = 1037,	total = 3000
initial mass depletion timescale =1.610072e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
2.600000e+07	  3	  3000	   479	1.310904856310404e-03	9.999999999999991e+00	3.151643700413826e+00
2.700000e+07	  3	  3000	  2926	1.606142712883115e-03	1.333521432163323e+01	3.384635371670183e-01
2.800000e+07	  3	  3000	  1487	1.193101018433430e-03	1.333521432163323e+01	8.598350494765640e-01
2.900000e+07	  3	  3000	  2945	1.227277894401820e-03	1.333521432163323e+01	1.382106184571642e+00
3.000000e+07	  3	  3000	  2501	1.751389365001954e-03	1.333521432163323e+01	1.904681202965687e+00
3.100000e+07	  3	  3000	   505	1.118649794802400e-03	1.333521432163323e+01	2.426364632670818e+00
t_sys = 1.605216e+01 [yr]	i = 1076	neighbor number = 0	v_ave, sigma, & n_s does NOT change.
3.200000e+07	  3	  3000	   349	1.206970393802789e-03	1.333521432163323e+01	2.948889511336068e+00
3.300000e+07	  3	  3000	  2968	1.689978764305795e-03	1.333521432163323e+01	3.469913602675916e+00
3.400000e+07	  3	  3000	  2019	1.221508220789343e-03	1.333521432163323e+01	3.990188442565486e+00
3.500000e+07	  3	  3000	    87	1.517618464008489e-03	1.778279410038921e+01	6.535587799191779e-02
3.600000e+07	  3	  3000	  1693	1.247692777082617e-03	1.778279410038921e+01	5.866569798559048e-01
3.700000e+07	  3	  3000	   846	1.855772010385975e-03	1.778279410038921e+01	1.108055921034953e+00
3.800000e+07	  3	  3000	   604	1.731765762933761e-03	1.778279410038921e+01	1.631238601573026e+00
3.900000e+07	  3	  3000	  1522	1.624044580758833e-03	1.778279410038921e+01	2.152712075169904e+00
4.000000e+07	  3	  3000	  2314	1.399950509087456e-03	1.778279410038921e+01	2.675583402521921e+00
4.100000e+07	  3	  3000	  1596	1.543883699982473e-03	1.778279410038921e+01	3.197772220447607e+00
4.200000e+07	  3	  3000	   268	1.115690139036149e-03	1.778279410038921e+01	3.720152915047833e+00
4.300000e+07	  3	  3000	  1458	2.269906104099702e-03	1.778279410038921e+01	4.242480143687301e+00
4.400000e+07	  3	  3000	  1010	1.323603065931240e-03	1.778279410038921e+01	4.763556202387493e+00
collision No.1	2.257577e+01[yr]	i=1, j=2552	r_ij=6.309405114930063e-05	radius[1]+radius[2552]=6.338481524341289e-05
dE_heat=-5.457890e-12	dE_grav=5.254162e-12	dE_c=-2.745591e-19	v_imp=3.143041e-01
4.500000e+07	  3	  2999	   766	1.378369101424710e-03	1.778279410038921e+01	5.287045246165544e+00
4.600000e+07	  3	  2999	  1612	1.272859638742657e-03	1.778279410038921e+01	5.809269950878514e+00
4.700000e+07	  3	  2999	  1998	1.181483283391703e-03	2.371373705661653e+01	3.999259913830838e-01
4.800000e+07	  3	  2999	   783	1.300692298699873e-03	2.371373705661653e+01	9.227088873284972e-01
4.900000e+07	  3	  2999	   145	2.363642144073200e-03	2.371373705661653e+01	1.445216939450831e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  2999	   476	1.550343772388726e-03	2.371373705661653e+01	1.967541732279234e+00
5.100000e+07	  3	  2999	  2869	1.456905074886472e-03	2.371373705661653e+01	2.490885837031290e+00
5.200000e+07	  3	  2999	  1322	1.512952691570436e-03	2.371373705661653e+01	3.012715340849825e+00
5.300000e+07	  3	  2999	   212	1.234210551458594e-04	2.371373705661653e+01	3.535337299610076e+00
5.400000e+07	  3	  2999	  1003	1.745766823448489e-03	2.371373705661653e+01	4.057411585700737e+00
5.500000e+07	  3	  2999	     6	1.575811030569846e-03	2.371373705661653e+01	4.579293001118848e+00
5.600000e+07	  3	  2999	  1393	1.493876981074541e-03	2.371373705661653e+01	5.102005557432145e+00
5.700000e+07	  3	  2999	  1162	1.257043053772990e-03	2.371373705661653e+01	5.623777980044975e+00
5.800000e+07	  3	  2999	  1294	2.135198859466440e-03	2.371373705661653e+01	6.146506890431049e+00
5.900000e+07	  3	  2999	   730	1.432962142074116e-03	2.371373705661653e+01	6.668385021521447e+00
6.000000e+07	  3	  2999	  1224	1.123825535813170e-03	2.371373705661653e+01	7.190155564462516e+00
6.100000e+07	  3	  2999	  2936	1.357735270338823e-03	2.371373705661653e+01	7.713298242759000e+00
6.200000e+07	  3	  2999	  1077	1.214801375218652e-03	3.162277660168376e+01	3.239269823339371e-01
6.300000e+07	  3	  2999	  1320	2.023982458930839e-03	3.162277660168376e+01	8.475677823962888e-01
6.400000e+07	  3	  2999	   539	1.314673530716188e-03	3.162277660168376e+01	1.368391907244763e+00
6.500000e+07	  3	  2999	  2742	2.296572692041497e-03	3.162277660168376e+01	1.891507064334509e+00
6.600000e+07	  3	  2999	  1699	1.809296956663797e-03	3.162277660168376e+01	2.412570348709314e+00
6.700000e+07	  3	  2999	  1206	1.225541347385752e-03	3.162277660168376e+01	2.934471102351767e+00
6.800000e+07	  3	  2999	   416	1.660075782025583e-03	3.162277660168376e+01	3.456926590750172e+00
6.900000e+07	  3	  2999	   692	1.581713280225584e-03	3.162277660168376e+01	3.978788007363388e+00
7.000000e+07	  3	  2999	  2461	1.126213623013411e-03	3.162277660168376e+01	4.502259883812950e+00
7.100000e+07	  3	  2999	  2152	1.566240808692563e-03	3.162277660168376e+01	5.023164038402393e+00
7.200000e+07	  3	  2999	  1301	2.282450837347330e-03	3.162277660168376e+01	5.545510038514693e+00
7.300000e+07	  3	  2999	   190	1.575241631777429e-03	3.162277660168376e+01	6.067496010631870e+00
7.400000e+07	  3	  2999	   757	1.867781117810789e-03	3.162277660168376e+01	6.589702630935132e+00
7.500000e+07	  3	  2999	  2429	1.261286159034162e-03	3.162277660168376e+01	7.112493936852853e+00
7.600000e+07	  3	  2999	   725	1.251747002984036e-03	3.162277660168376e+01	7.634198672504128e+00
7.700000e+07	  3	  2999	  1712	1.515536215577719e-03	3.162277660168376e+01	8.157033074553365e+00
7.800000e+07	  3	  2999	  1351	1.561489954290049e-03	3.162277660168376e+01	8.678442771200393e+00
7.900000e+07	  3	  2999	  2247	1.644518391690835e-03	3.162277660168376e+01	9.200630434395432e+00
8.000000e+07	  3	  2999	   296	1.881007144798002e-03	3.162277660168376e+01	9.722580832890127e+00
8.100000e+07	  3	  2999	  2332	1.857953870264574e-03	3.162277660168376e+01	1.024294153062925e+01
8.200000e+07	  3	  2999	  1575	1.265176941413091e-03	4.216965034285818e+01	2.186465835518550e-01
8.300000e+07	  3	  2999	  1259	1.670589972090837e-03	4.216965034285818e+01	7.390644386233644e-01
8.400000e+07	  3	  2999	  2254	1.739736491469970e-03	4.216965034285818e+01	1.262367010951347e+00
8.500000e+07	  3	  2999	  1131	1.014716773546913e-03	4.216965034285818e+01	1.784314091749806e+00
8.600000e+07	  3	  2999	   393	1.237571396796726e-03	4.216965034285818e+01	2.307712978175030e+00
8.700000e+07	  3	  2999	   153	1.705429798736526e-03	4.216965034285818e+01	2.828946692931965e+00
8.800000e+07	  3	  2999	   550	1.293600505643444e-03	4.216965034285818e+01	3.352630727661643e+00
8.900000e+07	  3	  2999	   516	1.159967678268108e-03	4.216965034285818e+01	3.873221810547403e+00
9.000000e+07	  3	  2999	  2829	2.192802348369728e-03	4.216965034285818e+01	4.395812378591704e+00
9.100000e+07	  3	  2999	    25	1.316696464417682e-03	4.216965034285818e+01	4.916730189504611e+00
9.200000e+07	  3	  2999	   926	1.694573658998021e-03	4.216965034285818e+01	5.438012668675064e+00
9.300000e+07	  3	  2999	   909	2.455791585805615e-03	4.216965034285818e+01	5.960562807793660e+00
9.400000e+07	  3	  2999	  1969	1.296971846387591e-03	4.216965034285818e+01	6.483316361930636e+00
9.500000e+07	  3	  2999	  1944	2.143315757130000e-03	4.216965034285818e+01	7.005038781314426e+00
9.600000e+07	  3	  2999	  1098	1.622889778904161e-03	4.216965034285818e+01	7.527751001348978e+00
9.700000e+07	  3	  2999	  1563	1.782101046445102e-03	4.216965034285818e+01	8.048274809341722e+00
9.800000e+07	  3	  2999	  2165	1.338053088383345e-03	4.216965034285818e+01	8.572043151228867e+00
9.900000e+07	  3	  2999	  1951	1.443840367552034e-03	4.216965034285818e+01	9.092347119270732e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.000000e+08	  3	  2999	  2155	1.319501870032772e-03	4.216965034285818e+01	9.615131375524792e+00
1.010000e+08	  3	  2999	  2765	1.877670985817363e-03	4.216965034285818e+01	1.013586556685278e+01
1.020000e+08	  3	  2999	  2009	1.696735778733385e-03	4.216965034285818e+01	1.065853943193514e+01
1.030000e+08	  3	  2999	  2199	1.209890950520848e-03	4.216965034285818e+01	1.117993533730632e+01
1.040000e+08	  3	  2999	  1799	1.710479261862734e-03	4.216965034285818e+01	1.170125719010927e+01
1.050000e+08	  3	  2999	    25	9.878224411744457e-04	4.216965034285818e+01	1.222412491315442e+01
t_sys = 5.469548e+01 [yr]	i = 1608	neighbor number = 0	v_ave, sigma, & n_s does NOT change.
1.060000e+08	  3	  2999	   822	1.361580967456532e-03	4.216965034285818e+01	1.274521698434809e+01
1.070000e+08	  3	  2999	  2473	1.062113891016310e-03	4.216965034285818e+01	1.326792696116393e+01
1.080000e+08	  3	  2999	  2736	1.125987403885487e-03	4.216965034285818e+01	1.378955886094644e+01
1.090000e+08	  3	  2999	  1514	1.049256323764395e-03	5.623413251903484e+01	2.456559131937855e-01
1.100000e+08	  3	  2999	  1343	1.101645784526400e-03	5.623413251903484e+01	7.685126757737143e-01
1.110000e+08	  3	  2999	  1955	2.235295939664905e-03	5.623413251903484e+01	1.288995806447940e+00
1.120000e+08	  3	  2999	  1741	1.012266056823194e-03	5.623413251903484e+01	1.811875967242467e+00
1.130000e+08	  3	  2999	  1446	1.103676203526501e-03	5.623413251903484e+01	2.332814951950925e+00
1.140000e+08	  3	  2999	   560	1.234068264427185e-03	5.623413251903484e+01	2.856340976594850e+00
1.150000e+08	  3	  2999	  2461	1.229163279635984e-03	5.623413251903484e+01	3.378018801255885e+00
1.160000e+08	  3	  2999	  2022	1.109566891196434e-03	5.623413251903484e+01	3.901053897807423e+00
1.170000e+08	  3	  2999	  2290	1.746203189019638e-03	5.623413251903484e+01	4.422495160321630e+00
1.180000e+08	  3	  2999	   492	2.082523802164324e-03	5.623413251903484e+01	4.946241563508862e+00
1.190000e+08	  3	  2999	   253	1.500751877517419e-03	5.623413251903484e+01	5.467396563893943e+00
1.200000e+08	  3	  2999	  2982	1.833985104790153e-03	5.623413251903484e+01	5.989950775868885e+00
1.210000e+08	  3	  2999	  1774	1.391155993430564e-03	5.623413251903484e+01	6.510635908954246e+00
1.220000e+08	  3	  2999	    88	1.391674115652652e-03	5.623413251903484e+01	7.031797203987298e+00
1.230000e+08	  3	  2999	  1080	1.462112632461990e-03	5.623413251903484e+01	7.554388516171374e+00
1.240000e+08	  3	  2999	   569	2.803201261072963e-03	5.623413251903484e+01	8.076688166335019e+00
1.250000e+08	  3	  2999	  1176	1.487312993205945e-03	5.623413251903484e+01	8.598603911473189e+00
1.260000e+08	  3	  2999	   666	1.522470144778010e-03	5.623413251903484e+01	9.120666997879994e+00
1.270000e+08	  3	  2999	    50	1.572632207866440e-03	5.623413251903484e+01	9.642340333142148e+00
1.280000e+08	  3	  2999	  2335	1.066099205893443e-03	5.623413251903484e+01	1.016428570297905e+01
1.290000e+08	  3	  2999	  1863	1.469818556972027e-03	5.623413251903484e+01	1.068549925642160e+01
1.300000e+08	  3	  2999	  1648	1.451348703037965e-03	5.623413251903484e+01	1.120725808816746e+01
1.310000e+08	  3	  2999	  2040	1.362081279625409e-03	5.623413251903484e+01	1.172947273309125e+01
1.320000e+08	  3	  2999	    33	1.556847819318123e-03	5.623413251903484e+01	1.225114552815263e+01
1.330000e+08	  3	  2999	  1869	1.548810916725626e-03	5.623413251903484e+01	1.277408583325020e+01
1.340000e+08	  3	  2999	   993	9.104575524090941e-04	5.623413251903484e+01	1.329574222425122e+01
1.350000e+08	  3	  2999	  1114	9.786915506273717e-04	5.623413251903484e+01	1.381876956499777e+01
1.360000e+08	  3	  2999	     9	1.465409408765789e-03	5.623413251903484e+01	1.434015237499400e+01
1.370000e+08	  3	  2999	  1131	1.018103634239873e-03	5.623413251903484e+01	1.486344416771817e+01
1.380000e+08	  3	  2999	    63	1.283801357836534e-03	5.623413251903484e+01	1.538396966044165e+01
1.390000e+08	  3	  2999	  1296	2.929612915358705e-03	5.623413251903484e+01	1.590750543993740e+01
1.400000e+08	  3	  2999	  2536	2.126390506132381e-03	5.623413251903484e+01	1.642820047183036e+01
1.410000e+08	  3	  2999	  2694	1.482192417972592e-03	5.623413251903484e+01	1.695086701349962e+01
1.420000e+08	  3	  2999	  2304	1.771045062858291e-03	5.623413251903484e+01	1.747338669995541e+01
1.430000e+08	  3	  2999	  1561	1.508079099384719e-03	5.623413251903484e+01	1.799457811194034e+01
1.440000e+08	  3	  2999	  2011	1.059017107550611e-03	5.623413251903484e+01	1.851876789697025e+01
1.450000e+08	  3	  2999	   111	1.654016252948598e-03	7.498942093324548e+01	2.826995397480993e-01
1.460000e+08	  3	  2999	  2053	1.222457411542688e-03	7.498942093324548e+01	8.061166107043349e-01
1.470000e+08	  3	  2999	  2965	1.288715121248072e-03	7.498942093324548e+01	1.328469163105845e+00
1.480000e+08	  3	  2999	  2020	1.547036777862298e-03	7.498942093324548e+01	1.850329727929463e+00
1.490000e+08	  3	  2999	   914	1.261331807845648e-03	7.498942093324548e+01	2.374004770424466e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.500000e+08	  3	  2999	  2578	1.350124432836664e-03	7.498942093324548e+01	2.894835163791583e+00
1.510000e+08	  3	  2999	  2929	1.569428948346669e-03	7.498942093324548e+01	3.418142004973007e+00
1.520000e+08	  3	  2999	  1990	2.327173572491217e-03	7.498942093324548e+01	3.939854020994148e+00
1.530000e+08	  3	  2999	  1854	1.743960628087746e-03	7.498942093324548e+01	4.463268592948305e+00
1.540000e+08	  3	  2999	   515	1.121435836369974e-03	7.498942093324548e+01	4.984386490639663e+00
1.550000e+08	  3	  2999	   774	1.530820772529396e-03	7.498942093324548e+01	5.507786280132255e+00
1.560000e+08	  3	  2999	  2391	1.389117913509577e-03	7.498942093324548e+01	6.028784474244639e+00
t_sys = 8.111922e+01 [yr]	i = 1900	neighbor number = 0	v_ave, sigma, & n_s does NOT change.
1.570000e+08	  3	  2999	  1309	2.923092368927703e-03	7.498942093324548e+01	6.551090479029709e+00
1.580000e+08	  3	  2999	  2745	1.218726405686890e-03	7.498942093324548e+01	7.073924712075354e+00
1.590000e+08	  3	  2999	  2222	1.904413484750302e-03	7.498942093324548e+01	7.595409674220777e+00
1.600000e+08	  3	  2999	  1000	1.689013817715831e-03	7.498942093324548e+01	8.118561095282077e+00
1.610000e+08	  3	  2999	   915	1.160627217992612e-03	7.498942093324548e+01	8.640212604091138e+00
1.620000e+08	  3	  2999	  1290	1.791681455874612e-03	7.498942093324548e+01	9.163355676669683e+00
1.630000e+08	  3	  2999	   103	1.498489489860686e-03	7.498942093324548e+01	9.683804028116482e+00
1.640000e+08	  3	  2999	  2611	1.601554273969929e-03	7.498942093324548e+01	1.020657235799621e+01
1.650000e+08	  3	  2999	  2429	1.129896463973785e-03	7.498942093324548e+01	1.072915796500162e+01
1.660000e+08	  3	  2999	  2108	1.711366716693164e-03	7.498942093324548e+01	1.125018764934291e+01
1.670000e+08	  3	  2999	  2370	1.219297163730673e-03	7.498942093324548e+01	1.177349176419099e+01
1.680000e+08	  3	  2999	   659	1.768327752071124e-03	7.498942093324548e+01	1.229491566352995e+01
1.690000e+08	  3	  2999	  1233	1.878386044827364e-03	7.498942093324548e+01	1.281613048432800e+01
1.700000e+08	  3	  2999	  1662	1.128199881319633e-03	7.498942093324548e+01	1.333798177966615e+01
1.710000e+08	  3	  2999	   458	1.228419675876324e-03	7.498942093324548e+01	1.385973354253890e+01
1.720000e+08	  3	  2999	    66	2.278510351639734e-03	7.498942093324548e+01	1.438199464540300e+01
1.730000e+08	  3	  2999	  2071	1.291215981081190e-03	7.498942093324548e+01	1.490416412110368e+01
1.740000e+08	  3	  2999	  1575	1.977559866016566e-03	7.498942093324548e+01	1.542544677668887e+01
1.750000e+08	  3	  2999	   849	1.426353617767963e-03	7.498942093324548e+01	1.594867645328410e+01
1.760000e+08	  3	  2999	  2292	2.165786454338609e-03	7.498942093324548e+01	1.646876377444942e+01
1.770000e+08	  3	  2999	  1953	1.563996537544350e-03	7.498942093324548e+01	1.699262605991577e+01
1.780000e+08	  3	  2999	  1253	1.609440471509700e-03	7.498942093324548e+01	1.751367785126764e+01
1.790000e+08	  3	  2999	  2023	1.811077563553579e-03	7.498942093324548e+01	1.803591907194952e+01
1.800000e+08	  3	  2999	  1938	1.397395340159550e-03	7.498942093324548e+01	1.855898683678527e+01
1.810000e+08	  3	  2999	  2790	1.585252606200094e-03	7.498942093324548e+01	1.907914980244875e+01
1.820000e+08	  3	  2999	  1129	1.074854319443034e-03	7.498942093324548e+01	1.960234051926173e+01
1.830000e+08	  3	  2999	  1342	1.435988840565339e-03	7.498942093324548e+01	2.012078424651745e+01
1.840000e+08	  3	  2999	   662	1.707014224728905e-03	7.498942093324548e+01	2.064399590296233e+01
1.850000e+08	  3	  2999	   773	3.010803564612247e-03	7.498942093324548e+01	2.116441912346404e+01
1.860000e+08	  3	  2999	   499	1.432867994568958e-03	7.498942093324548e+01	2.168677082564797e+01
1.870000e+08	  3	  2999	  2443	1.506829248727031e-03	7.498942093324548e+01	2.220907008017118e+01
1.880000e+08	  3	  2999	   219	9.456056987346045e-04	7.498942093324548e+01	2.273099427393046e+01
1.890000e+08	  3	  2999	   798	1.590037581331493e-03	7.498942093324548e+01	2.325343731144797e+01
1.900000e+08	  3	  2999	  2037	1.488307861707748e-03	7.498942093324548e+01	2.377471741757044e+01
1.910000e+08	  3	  2999	   442	1.569531894208250e-03	7.498942093324548e+01	2.429607798010707e+01
1.920000e+08	  3	  2999	  1281	9.680129403589449e-04	7.498942093324548e+01	2.481843250099002e+01
1.930000e+08	  3	  2999	  1673	1.589808178336272e-03	9.999999999999986e+01	3.291435958300304e-01
1.940000e+08	  3	  2999	  1613	1.522677104925894e-03	9.999999999999986e+01	8.517447938468224e-01
1.950000e+08	  3	  2999	  1313	1.756262224183663e-03	9.999999999999986e+01	1.373561358408490e+00
1.960000e+08	  3	  2999	   290	1.346304787461272e-03	9.999999999999986e+01	1.895999481839647e+00
1.970000e+08	  3	  2999	  2082	1.188664411667198e-03	9.999999999999986e+01	2.417963193129833e+00
1.980000e+08	  3	  2999	  1020	1.086719752576081e-03	9.999999999999986e+01	2.939556984435179e+00
1.990000e+08	  3	  2999	  1271	1.288625086691536e-03	9.999999999999986e+01	3.460938589464676e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
2.000000e+08	  3	  2999	  1357	1.888892733540298e-03	9.999999999999986e+01	3.984069695734604e+00
2.010000e+08	  3	  2999	   682	1.204929756552197e-03	9.999999999999986e+01	4.505286807885308e+00
2.020000e+08	  3	  2999	  2868	1.833397388874668e-03	9.999999999999986e+01	5.027695288986472e+00
2.030000e+08	  3	  2999	  2752	1.507175095726479e-03	9.999999999999986e+01	5.549458472945036e+00
2.040000e+08	  3	  2999	   150	1.857613456096805e-03	9.999999999999986e+01	6.070852239073891e+00
2.050000e+08	  3	  2999	   749	1.704205711472176e-03	9.999999999999986e+01	6.594770381297530e+00
2.060000e+08	  3	  2999	  1205	2.756337024225082e-03	9.999999999999986e+01	7.114212993969415e+00
2.070000e+08	  3	  2999	  1098	1.730334522835161e-03	9.999999999999986e+01	7.636711705742739e+00
2.080000e+08	  3	  2999	  1177	1.651306716979245e-03	9.999999999999986e+01	8.158719555298957e+00
2.090000e+08	  3	  2999	  1309	1.583456645848722e-03	9.999999999999986e+01	8.680999637414736e+00
2.100000e+08	  3	  2999	  1584	1.318429574681277e-03	9.999999999999986e+01	9.202928294188709e+00
2.110000e+08	  3	  2999	  2920	1.165858207049181e-03	9.999999999999986e+01	9.725380019011041e+00
